Id,Start,Name,Impact,Currency
dcf5aaeb-cfea-4d0a-b6b1-609029a0e098,01/15/2019 13:30:00,Producer Price Index ex Food & Energy (MoM),LOW,USD
7fa5450c-6110-4dce-b433-204c4917077b,01/15/2019 13:30:00,Producer Price Index ex Food & Energy (YoY),MEDIUM,USD
78facfe8-93ec-44c5-b275-55d020c30ea7,01/15/2019 13:30:00,Producer Price Index (MoM),LOW,USD
4d2444d0-ab14-4f72-ac8c-bc7b3bac9dd5,01/15/2019 13:55:00,Redbook Index (YoY),LOW,USD
c29e6f34-c7b1-445d-b9c6-3d1be18b8345,01/15/2019 13:55:00,Redbook Index (MoM),LOW,USD
abfbc1a3-af64-49d6-b257-cec8058a7884,01/15/2019 15:00:00,IBD/TIPP Economic Optimism (MoM),LOW,USD
050eecbb-fac8-45b6-a195-fd87bbc0e68c,01/15/2019 18:00:00,Fed's George speech,LOW,USD
4e4f4232-d223-4edf-9552-888c319102c9,01/15/2019 21:30:00,API Weekly Crude Oil Stock,LOW,USD
ff736dc7-f588-4cae-918b-6c973505c3fa,01/16/2019 01:30:00,"House Price Index ",LOW,CNY
2d5bd24b-e586-43db-bea3-1db9ae064787,01/16/2019 12:00:00,MBA Mortgage Applications,LOW,USD
67ae89a8-63e1-43ee-96ad-4dbe61ecaece,01/16/2019 13:30:00,Import Price Index (MoM),LOW,USD
e92b4c08-1559-474c-a982-ef55d1736b18,01/16/2019 13:30:00,Import Price Index (YoY),LOW,USD
1d9a7612-7781-4113-9a81-b27afdce9823,01/16/2019 13:30:00,Export Price Index (MoM),LOW,USD
9d3700c2-c4cb-4be3-b1b0-bac5bd25bc65,01/16/2019 13:30:00,Export Price Index (YoY),LOW,USD
b959b444-3cf7-424e-9df7-2e5f3f3e7958,01/16/2019 15:00:00,NAHB Housing Market Index,LOW,USD
faae3563-08ea-4d8c-90a7-b9e2a1f9dc40,01/16/2019 15:30:00,EIA Crude Oil Stocks Change,LOW,USD
b559b57f-2a5c-4ef4-b7c0-0a66aaba5b15,01/16/2019 16:30:00,Fed's Kashkari speech,MEDIUM,USD
52022944-8484-450d-b63d-2dff51e68380,01/16/2019 19:00:00,Fed's Beige Book,MEDIUM,USD
4b6eb0e2-bcf0-4680-a6e8-249017d8c4d1,01/17/2019 13:30:00,Continuing Jobless Claims,LOW,USD
5e757cb9-8faa-46ed-a126-fac4a99af5e9,01/17/2019 13:30:00,Philadelphia Fed Manufacturing Survey,MEDIUM,USD
03e7fa77-c0bf-4dcf-9bbb-85bcc935c32f,01/17/2019 13:30:00,Initial Jobless Claims,MEDIUM,USD
40dfadf3-e1d0-4b4c-8f21-9b656b1bb977,01/17/2019 13:30:00,Initial Jobless Claims 4-week average,MEDIUM,USD
27ed87cd-55eb-4e25-867d-1e7f6f2cd3ff,01/17/2019 15:30:00,EIA Natural Gas Storage Change,LOW,USD
f02ebe49-da23-4d68-8cef-69557d2719a0,01/17/2019 15:45:00,Fed's Quarles speech,MEDIUM,USD
3498ca30-c3c6-409a-bdbe-b2af55b9fd9b,01/17/2019 16:30:00,4-Week Bill Auction,LOW,USD
2d4f36af-9d59-4d86-801c-45b1575e22c2,01/18/2019 14:05:00,Fed's Williams speech,MEDIUM,USD
d774f3e9-9417-49f1-8242-9e3280f53cb7,01/18/2019 14:15:00,Industrial Production (MoM),MEDIUM,USD
b23e7e10-6b97-4896-b273-03abe022a7b7,01/18/2019 14:15:00,Capacity Utilization,MEDIUM,USD
6c19a700-07f8-418b-a591-0aaa82a87690,01/18/2019 15:00:00,Michigan Consumer Sentiment Index,MEDIUM,USD
3050ff27-b5c0-40a9-b447-63d8f4849349,01/18/2019 18:00:00,Baker Hughes US Oil Rig Count,MEDIUM,USD
61c915dd-defd-41fc-a8b4-f8fe4a39b4a1,01/21/2019 02:00:00,Gross Domestic Product (YoY),HIGH,CNY
c43b262f-3144-4ce6-8add-b39fbd5c110e,01/21/2019 02:00:00,Fixed Asset Investment (YTD) (YoY),LOW,CNY
65b8824f-8f67-4d03-a821-75f62c8ec349,01/21/2019 02:00:00,NBS Press Conference,MEDIUM,CNY
c3b316ee-9546-45bf-9327-4b3c918514fa,01/21/2019 02:00:00,Industrial Production (YoY),MEDIUM,CNY
373280c2-c260-4443-9ad0-a77a8b41669d,01/21/2019 02:00:00,Gross Domestic Product (QoQ),HIGH,CNY
baa4c2cb-5e67-42a9-9b9d-de417c6e914a,01/21/2019 02:00:00,Retail Sales (YoY),MEDIUM,CNY
d64c74ff-7d9a-4319-85f1-fb6821528ae6,01/21/2019 05:00:00,Martin L. King's Birthday,NONE,USD
c39586d5-03b0-4342-bfbc-dddc4ccb7dc6,01/22/2019 15:00:00,Existing Home Sales (MoM),MEDIUM,USD
26e777a2-109e-4003-8323-40b2d53ad540,01/22/2019 15:00:00,Existing Home Sales Change (MoM),LOW,USD
b885eab4-bbce-432c-95cc-af8d8708bdc6,01/23/2019 11:00:00,Mid-month Inflation,LOW,BRL
531d1a55-41fc-4d2c-bbe7-2f9766923591,01/23/2019 12:00:00,MBA Mortgage Applications,LOW,USD
c7367143-d593-46d5-94b5-8c0f3afc35ba,01/23/2019 13:55:00,Redbook Index (YoY),LOW,USD
223edfad-e913-498d-9fe6-c88eb7e26a34,01/23/2019 13:55:00,Redbook Index (MoM),LOW,USD
b3499dae-1175-434c-9d42-d4046045cef6,01/23/2019 14:00:00,Housing Price Index (MoM),MEDIUM,USD
9e0f4289-d826-4293-b256-088474361858,01/23/2019 15:00:00,Richmond Fed Manufacturing Index,LOW,USD
4ba1bbe0-835f-4d19-a4a4-6a8e7772113c,01/23/2019 21:30:00,API Weekly Crude Oil Stock,LOW,USD
c7954de3-836f-4653-bf59-1403cf010f3f,01/24/2019 13:30:00,Continuing Jobless Claims,LOW,USD
0248de35-26af-429e-8b3f-2adea3a3a5a8,01/24/2019 13:30:00,Initial Jobless Claims,MEDIUM,USD
ac7e6b38-c6e0-468f-a34d-797b171a05d1,01/24/2019 13:30:00,Initial Jobless Claims 4-week average,MEDIUM,USD
44831506-a3a9-4ac7-a1dc-ef7c8a1028f0,01/24/2019 14:45:00,Markit Manufacturing PMI,MEDIUM,USD
c49adb84-b1fb-47e9-976c-04ce120c83b5,01/24/2019 14:45:00,Markit Services PMI,MEDIUM,USD
83e3addd-3b94-44d4-bfd9-e33a0cd9e4de,01/24/2019 14:45:00,Markit PMI Composite,MEDIUM,USD
8f4dd4aa-ad1d-40ee-9650-8dd8f6f775b5,01/24/2019 15:30:00,EIA Natural Gas Storage Change,LOW,USD
f1544414-a29e-4ffc-b8ee-638ffc6805c0,01/24/2019 16:00:00,Kansas Fed Manufacturing Activity,LOW,USD
89637a30-e583-4cf3-b66d-6a5cf620eadc,01/24/2019 16:00:00,EIA Crude Oil Stocks Change,LOW,USD
2d8b69e0-513a-4a6f-a9a2-b8aaf1e53f3c,01/24/2019 16:30:00,4-Week Bill Auction,LOW,USD
75376c43-bdeb-4f88-87ca-900306206c91,01/24/2019 17:00:00,Senate votes on Government Shutdown,MEDIUM,USD
b6236789-e87b-4170-b0b9-ff71d23b47fd,01/25/2019 18:00:00,Baker Hughes US Oil Rig Count,MEDIUM,USD
e895e994-2207-4373-bc13-1e805b6a91c3,01/28/2019 12:30:00,Current Account,LOW,BRL
0f08b55c-2854-4dfc-9937-2e84b035511f,01/28/2019 13:30:00,"Chicago Fed National Activity Index ",MEDIUM,USD
40bd5cec-0f5c-4e81-8b0b-251e1a44942e,01/28/2019 15:30:00,Dallas Fed Manufacturing Business Index,LOW,USD
fb0c3d5f-d435-4455-abf9-441ca2e63707,01/28/2019 16:30:00,6-Month Bill Auction,LOW,USD
6064926a-ab52-4851-b19e-575b9eb12b95,01/28/2019 18:00:00,2-Year Note Auction,LOW,USD
f3605672-5c94-4ed5-b8d8-c67a387af5cb,01/28/2019 18:00:00,3-Month Bill Auction,LOW,USD
ae0c3901-17f7-42ea-9398-9b22ab2ceb50,01/28/2019 18:00:00,5-Year Note Auction,LOW,USD
6a61b0f8-3a1a-4527-a83c-8e611f98fb45,01/29/2019 13:55:00,Redbook Index (YoY),LOW,USD
25c2161a-4d33-4173-8aa6-1f7bd1ecd42e,01/29/2019 13:55:00,Redbook Index (MoM),LOW,USD
c653a5e8-3996-420a-bc13-e6145a8777d6,01/29/2019 14:00:00,S&P/Case-Shiller Home Price Indices (YoY),MEDIUM,USD
2fbaf02e-2433-47af-8709-72643c289947,01/29/2019 15:00:00,Consumer Confidence,MEDIUM,USD
e3c1ec04-af8e-4c60-8c50-fe783c69130c,01/29/2019 16:30:00,52-Week Bill Auction,LOW,USD
1e1f88f1-4208-497a-bb48-d9aff77ca374,01/29/2019 18:00:00,7-Year Note Auction,LOW,USD
d80ee05a-4a74-4b45-bef5-a541a729051b,01/29/2019 21:30:00,API Weekly Crude Oil Stock,LOW,USD
cffdbb4b-020b-49eb-8b50-d54eff72a27d,01/30/2019 10:00:00,Inflation Index/IGP-M,LOW,BRL
84d4baa1-ecea-40bb-8b2f-3b44501f2160,01/30/2019 12:00:00,MBA Mortgage Applications,LOW,USD
6b821b87-1921-49fa-a21a-2a2d377c2521,01/30/2019 13:15:00,ADP Employment Change,MEDIUM,USD
b4bca9be-3350-46b8-9716-1057989d0ed6,01/30/2019 15:00:00,Pending Home Sales (YoY),LOW,USD
32548a44-fc07-4b69-9b53-7fe004333993,01/30/2019 15:00:00,Pending Home Sales (MoM),MEDIUM,USD
0df61afa-4948-4289-9c55-421c49a8b400,01/30/2019 15:30:00,EIA Crude Oil Stocks Change,LOW,USD
c50e765b-3ac7-4871-99cf-4e4b49c0b766,01/30/2019 19:00:00,Fed Interest Rate Decision,HIGH,USD
48db0b5c-33ac-4f1f-942d-293c54fccf77,01/30/2019 19:00:00,Fed's Monetary Policy Statement,HIGH,USD
b799a5fe-b4e2-435f-afe6-3dce55972dc7,01/30/2019 19:30:00,FOMC Press Conference,HIGH,USD
f9169c58-552c-4484-922c-328968b666f9,01/31/2019 01:00:00,Non-Manufacturing PMI,MEDIUM,CNY
d28c68be-1d00-4ff6-845b-c3172b7f019f,01/31/2019 01:00:00,NBS Manufacturing PMI,MEDIUM,CNY
ee0ae7e1-04e7-40f5-8426-47a37f1bd84f,01/31/2019 11:00:00,Unemployment Rate,LOW,BRL
49810b76-3d67-4d60-a85c-14c3bdbb0c20,01/31/2019 12:30:00,Challenger Job Cuts,LOW,USD
d095aa9c-a678-4354-a423-047b641662ad,01/31/2019 12:30:00,Primary Budget Surplus,LOW,BRL
86b71cec-84ad-469f-9af0-03d63157c408,01/31/2019 12:30:00,Nominal Budget Balance,LOW,BRL
1fd316f5-8383-4ec3-bf00-e3302c35b84c,01/31/2019 13:30:00,Continuing Jobless Claims,LOW,USD
7ab1790a-9d9c-4237-be97-08777e260c06,01/31/2019 13:30:00,Initial Jobless Claims,MEDIUM,USD
154ba833-0fa6-42e3-a575-8e34c12e0218,01/31/2019 13:30:00,Employment Cost Index,LOW,USD
bda5f752-54ca-4028-9fbd-5b288ea2414a,01/31/2019 13:30:00,Initial Jobless Claims 4-week average,MEDIUM,USD
58295a91-bb78-4a95-8995-3e0c989e350a,01/31/2019 14:45:00,Chicago Purchasing Managers' Index,MEDIUM,USD
4a6e41a4-8080-4b12-876d-07c2d9896318,01/31/2019 15:00:00,New Home Sales (MoM),MEDIUM,USD
3fb3c864-1fe6-453a-bd90-d7b76bbeb3b9,01/31/2019 15:00:00,New Home Sales Change (MoM),LOW,USD
68ece4c8-f6fb-4fa5-9beb-bb3926e0464a,01/31/2019 15:30:00,EIA Natural Gas Storage Change,LOW,USD
85a42916-451c-4074-a4d6-6158f25e0953,01/31/2019 16:30:00,4-Week Bill Auction,LOW,USD
f0763bf2-ab31-4a18-a618-3510349fa9fb,01/31/2019 21:00:00,Total Net TIC Flows,LOW,USD
1ce7bf5d-53cc-43c4-91fc-9d052f581a04,01/31/2019 21:00:00,Net Long-Term TIC Flows,LOW,USD
8fd2c97c-3dcb-4097-a783-33567f60636e,02/01/2019 01:45:00,Caixin Manufacturing PMI,MEDIUM,CNY
e3f5f000-1d23-488e-8433-84ee1a88af02,02/01/2019 11:00:00,Industrial Output (MoM),LOW,BRL
727d3ee6-cf95-48ca-8d66-19188fe4158c,02/01/2019 11:00:00,Industrial Output (YoY),LOW,BRL
a55a24eb-2ce6-481a-87d9-4c4febeffe08,02/01/2019 12:00:00,HSBC PMI Manufacturing,LOW,BRL
b948aed3-35b6-4ab3-8db3-70cff5ef3e1e,02/01/2019 13:30:00,Nonfarm Payrolls,HIGH,USD
d21be36b-8b6b-46df-9134-e575c107d03f,02/01/2019 13:30:00,Average Hourly Earnings (YoY),HIGH,USD
2c3201de-9bfe-4a4b-bc37-410fe128ed3a,02/01/2019 13:30:00,Average Weekly Hours,LOW,USD
212f5a9d-c87e-470d-b4fb-e87aed965c44,02/01/2019 13:30:00,Labor Force Participation Rate,MEDIUM,USD
980730c6-fe07-418e-a924-1df43b37683d,02/01/2019 13:30:00,Average Hourly Earnings (MoM),MEDIUM,USD
2ce236dd-e609-40e6-9d6f-593975ec23f1,02/01/2019 13:30:00,U6 Underemployment Rate,LOW,USD
b80e497c-3b9b-4de4-8aab-9a931dbfdcb8,02/01/2019 13:30:00,Unemployment Rate,MEDIUM,USD
97091903-3734-4d71-972d-cb4921390a48,02/01/2019 14:45:00,Markit Manufacturing PMI,MEDIUM,USD
b946665a-5716-428c-9ab4-4ec298a26431,02/01/2019 15:00:00,ISM Manufacturing Employment Index,MEDIUM,USD
72e178fd-bb8f-47d4-9b22-991107601523,02/01/2019 15:00:00,Wholesale Inventories,LOW,USD
1b3ba8aa-4dd0-4d25-afc9-91d1a3350d56,02/01/2019 15:00:00,Michigan Consumer Sentiment Index,MEDIUM,USD
9f2b2d34-9070-4f59-b9fa-5044ebd6d2b5,02/01/2019 15:00:00,ISM Manufacturing PMI,HIGH,USD
020a5747-4696-4f29-b6fc-7f394f03c3b9,02/01/2019 15:00:00,ISM Manufacturing Prices Paid,MEDIUM,USD
23b82f86-bb9b-4375-842b-97be527257de,02/01/2019 15:00:00,ISM Manufacturing New Orders Index,MEDIUM,USD
80396f99-f12b-4207-8276-44604a6ae379,02/01/2019 15:00:00,Construction Spending (MoM),LOW,USD
5c67a92b-b998-4d17-b0c1-1faba8edd47b,02/01/2019 18:00:00,Baker Hughes US Oil Rig Count,MEDIUM,USD
b15c4704-daf1-4223-9767-4b589d2621a9,02/01/2019 18:00:00,Trade Balance,LOW,BRL
a9e708ac-6cd3-48d1-ae7a-f6be3de18e4d,02/01/2019 20:30:00,CFTC Gold NC Net Positions,LOW,USD
54eac318-9ef3-4f12-b97b-b30996f64cec,02/01/2019 20:30:00,CFTC Oil NC Net Positions,LOW,USD
396ccb74-a82f-4373-b58e-c109b3e6ec2a,02/01/2019 20:30:00,CFTC S&P 500 NC Net Positions,LOW,USD
80fd079c-4111-440a-90cd-026975b7c131,02/01/2019 20:30:00,Total Vehicle Sales,LOW,USD
390da12d-33ca-431a-9df5-c1d3154cbc96,02/03/2019 01:45:00,Caixin Services PMI,MEDIUM,CNY
fe89fe20-ba0a-47fd-bde0-548edb28638f,02/03/2019 16:00:00,"Chinese New Year Eve ",NONE,CNY
11a874c4-d0e0-4546-acf8-a29ea4b274ac,02/04/2019 07:00:00,Fipe's IPC Inflation,LOW,BRL
